eup_loc_uid,unit_count,bsl_flag,building_type_code,land_use_code,county_geoid,block_geoid,h3_9,latitude,longitude,fcc_rel
c4e7ae0df6aed356,1,True,R,1,26097,260979505004009,89276e4b39bffff,45.90052848,-84.73488418,12312023
07b704b39cb24796,1,True,R,1,26097,260979505004009,89276e4b39bffff,45.9007924,-84.73485118,12312023
17a1fa9a7baa5ec8,1,True,R,1,26097,260979505004009,89276e4b067ffff,45.90107153,-84.73493419,12312023
3f52735029358293,1,True,R,1,26097,260979505004008,89276e4b39bffff,45.89884721,-84.73533423,12312023
d2ba489ea56def8b,1,True,R,1,26097,260979505004008,89276e4b39bffff,45.89933136,-84.73515621,12312023
7f467fa8ea82f5d4,1,True,R,1,26097,260979505004009,89276e4b39bffff,45.89965739,-84.73497819,12312023
d2d9c558ac1acc52,1,True,R,1,26097,260979505004009,89276e4b39bffff,45.90004143,-84.73468916,12312023
6258bd7665a7b436,1,True,R,1,26097,260979505004009,89276e4b39bffff,45.90033646,-84.73469516,12312023
a6b917ba85c92200,1,True,R,1,26097,260979505004009,89276e4b067ffff,45.90128155,-84.73495619,12312023
1192da0d32d8c07a,1,True,R,1,26097,260979505004010,89276e4b067ffff,45.90145857,-84.73578427,12312023
fb578a4c23c27eff,1,True,B,3,26097,260979505004010,89276e4b067ffff,45.90110154,-84.73591229,12312023
a97be4449ae6f049,1,True,R,1,26097,260979505004010,89276e4b067ffff,45.90108853,-84.73545124,12312023
a92cb0123e0915a7,1,True,R,1,26097,260979505004022,89276e4b39bffff,45.9007274,-84.73550125,12312023
486b122bd20d3a2f,1,True,R,1,26097,260979505004022,89276e4b39bffff,45.9007304,-84.73572827,12312023
0fba83f7fb027159,1,True,R,1,26097,260979505004022,89276e4b39bffff,45.90035046,-84.73542824,12312023
0e41658ec2dd39ee,1,True,R,1,26097,260979505004021,89276e4b39bffff,45.90002843,-84.73536223,12312023
78a95475e6cad8ba,2,True,X,2,26097,260979505004015,89276e4b06fffff,45.90131756,-84.73794549,12312023
933a65a3a816df3a,1,True,R,1,26097,260979505004013,89276e4b38bffff,45.8977411,-84.7380905,12312023
be387dee745fa502,1,True,R,1,26097,260979505004013,89276e4b38bffff,45.89744017,-84.73820652,12312023
02889230e4e6a1a0,1,True,R,1,26097,260979505004013,89276e4b38bffff,45.89816724,-84.73813451,12312023
f12917afb8fa2027,2,True,X,3,26097,260979505004013,89276e4b38bffff,45.89809223,-84.73875157,12312023
91b3f45c4c7d4f54,1,True,R,1,26097,260979505004024,89276e4b39bffff,45.89927835,-84.73565126,12312023
acd064d68b6e3de0,1,True,R,1,26097,260979505004024,89276e4b39bffff,45.89884621,-84.73569526,12312023
7110a028f32caf7a,1,True,R,1,26097,260979505004026,89276e4b38bffff,45.89743017,-84.73761746,12312023
77bc85d3bd8a4799,1,True,R,1,26033,260339707001051,8927630f40bffff,46.59292762,-85.03721242,12312023
bb8ca2481ccc13f5,1,True,B,3,26033,260339707001151,8927630a9afffff,46.60658708,-85.04027872,12312023
73d9f0ac02b4a38d,1,True,R,1,26033,260339707001051,8927630f457ffff,46.59548297,-85.0370844,12312023
09e35c901c31b746,1,True,R,1,26033,260339707001051,8927630f40bffff,46.5907314,-85.03668936,12312023
96851a1212a1a730,1,True,R,1,26033,260339707001168,8927630f457ffff,46.59327175,-85.03736743,12312023
cca54035df34a0ae,1,True,R,1,26033,260339707001051,8927630f457ffff,46.59362879,-85.03727342,12312023
820cb186ce91474d,1,True,R,1,26033,260339707001050,8927630a9a7ffff,46.60700813,-85.0380845,12312023
38067523c1f834a2,1,True,R,1,26033,260339707001051,8927630f457ffff,46.59445287,-85.0370624,12312023
a7b1fe310f97d48b,1,True,R,1,26033,260339707001051,8927630f457ffff,46.59495182,-85.03755645,12312023
a114c5f86f2b6e4a,1,True,R,1,26033,260339707001051,8927630f4cfffff,46.59789711,-85.03790149,12312023
3763e21b5c9d7514,1,True,R,1,26033,260339707001051,8927630f4dbffff,46.6037827,-85.03778447,12312023
56575bb2ae776db7,1,True,R,1,26033,260339707001051,8927630f473ffff,46.59053248,-85.03675137,12312023
da7bc5f74a92e78a,1,True,R,1,26033,260339707001050,8927630a9a7ffff,46.60567199,-85.03728942,12312023
cf9c256e54def789,1,True,R,1,26033,260339707001048,8927630f4dbffff,46.60413684,-85.0400957,12312023
6d47c784b3e5a87e,1,True,R,1,26033,260339707001048,8927630f4dbffff,46.60306773,-85.03939063,12312023
661135f0c39f6cb9,1,True,R,1,26033,260339707001051,8927630f4c3ffff,46.60054748,-85.03731243,12312023
